graph,seed,algorithm,n_layers,rho
3reg_14,5,L-VQE,1,0.9998235294117647
3reg_14,5,L-VQE,2,0.9996176470588234
3reg_14,5,VQE,1,0.9999411764705883
3reg_14,5,VQE,2,0.9992058823529409
3reg_14,6,L-VQE,0,0.941
3reg_14,6,L-VQE,1,0.9411176470588235
3reg_14,6,L-VQE,2,0.941058823529412
3reg_14,6,VQE,1,0.9994117647058824
3reg_14,6,VQE,2,0.940470588235294
3reg_14,7,L-VQE,0,0.9998235294117647
3reg_14,7,L-VQE,1,0.9998235294117644
3reg_14,7,L-VQE,2,0.9999411764705881
3reg_14,7,VQE,1,0.9998529411764705
3reg_14,7,VQE,2,0.9997058823529412
3reg_14,8,L-VQE,0,0.9999705882352942
3reg_14,8,L-VQE,1,0.9994999999999997
3reg_14,8,L-VQE,2,0.9999117647058824
3reg_14,8,VQE,1,0.9998823529411763
3reg_14,8,VQE,2,0.9991470588235293
3reg_14,9,L-VQE,0,0.9998235294117647
3reg_14,9,L-VQE,1,0.9996764705882352
3reg_14,9,L-VQE,2,0.9997647058823529
3reg_14,9,VQE,1,0.9994117647058824
3reg_14,9,VQE,2,0.9994117647058822
