graph,seed,algorithm,n_layers,rho
3reg_14,2,L-VQE,1,0.9999117647058824
3reg_14,2,L-VQE,2,0.9704411764705881
3reg_14,2,VQE,1,0.9997058823529412
3reg_14,2,VQE,2,0.9996764705882354
3reg_14,3,L-VQE,0,0.9410588235294118
3reg_14,3,L-VQE,1,0.9410588235294116
3reg_14,3,L-VQE,2,0.9124705882352943
3reg_14,3,VQE,1,0.999705882352941
3reg_14,3,VQE,2,0.9983823529411763
3reg_14,4,L-VQE,0,0.941
3reg_14,4,L-VQE,1,0.9408235294117647
3reg_14,4,L-VQE,2,0.911705882352941
3reg_14,4,VQE,1,0.9998235294117647
3reg_14,4,VQE,2,0.9994705882352943
3reg_14,5,L-VQE,0,0.9998823529411766
3reg_14,5,L-VQE,1,0.9996764705882352
3reg_14,5,L-VQE,2,0.9696764705882354
3reg_14,5,VQE,1,0.9998529411764705
3reg_14,5,VQE,2,0.9994117647058822
3reg_14,6,L-VQE,0,0.9411764705882353
3reg_14,6,L-VQE,1,0.9409411764705883
3reg_14,6,L-VQE,2,0.9115882352941177
3reg_14,6,VQE,1,0.9998529411764705
3reg_14,6,VQE,2,0.9405
3reg_14,7,L-VQE,0,0.9998823529411763
3reg_14,7,L-VQE,1,0.9998235294117644
3reg_14,7,L-VQE,2,0.9701176470588232
3reg_14,7,VQE,1,0.999705882352941
3reg_14,7,VQE,2,0.9993823529411766
3reg_14,8,L-VQE,0,0.9999117647058824
3reg_14,8,L-VQE,1,0.9998235294117647
3reg_14,8,L-VQE,2,0.9693529411764705
3reg_14,8,VQE,1,0.9998235294117644
3reg_14,8,VQE,2,0.9994117647058824
3reg_14,9,L-VQE,0,0.9998235294117647
3reg_14,9,L-VQE,1,0.9997647058823529
3reg_14,9,L-VQE,2,0.9136176470588234
3reg_14,9,VQE,1,0.9995588235294117
3reg_14,9,VQE,2,0.9992058823529412
