method,step,cost
L-VQE,140,-6.2
L-VQE,141,-6.2
L-VQE,142,-6.6
L-VQE,143,-6.9
L-VQE,144,-6.8
L-VQE,145,-6.6
L-VQE,146,-6.1
L-VQE,147,-5.8
L-VQE,148,-7.300000000000001
L-VQE,149,-6.9
L-VQE,150,-6.2
L-VQE,151,-6.0
L-VQE,152,-6.0
L-VQE,153,-6.4
L-VQE,154,-6.4
L-VQE,155,-6.8
L-VQE,156,-6.7
L-VQE,157,-6.4
L-VQE,158,-6.8
L-VQE,159,-6.5
L-VQE,160,-5.9
L-VQE,161,-5.8
L-VQE,162,-6.4
L-VQE,163,-6.6
L-VQE,164,-6.5
L-VQE,165,-6.2
L-VQE,166,-6.8
L-VQE,167,-6.4
L-VQE,168,-5.2
L-VQE,169,-5.5
L-VQE,170,-6.1
L-VQE,171,-5.0
L-VQE,172,-6.1
L-VQE,173,-6.4
L-VQE,174,-5.9
L-VQE,175,-6.5
L-VQE,176,-6.4
L-VQE,177,-6.1
L-VQE,178,-4.9
L-VQE,179,-6.9
L-VQE,180,-6.5
L-VQE,181,-4.6
L-VQE,182,-6.1
L-VQE,183,-6.0
L-VQE,184,-5.8
L-VQE,185,-5.7
L-VQE,186,-6.2
L-VQE,187,-7.4
L-VQE,188,-5.5
L-VQE,189,-5.8
L-VQE,190,-5.8
L-VQE,191,-6.6
L-VQE,192,-6.5
L-VQE,193,-6.5
L-VQE,194,-6.3
L-VQE,195,-6.8
L-VQE,196,-6.1
L-VQE,197,-5.8
L-VQE,198,-5.0
L-VQE,199,-6.7
L-VQE,200,-5.2
L-VQE,201,-5.6
L-VQE,202,-6.4
L-VQE,203,-5.9
L-VQE,204,-6.3
L-VQE,205,-6.5
L-VQE,206,-4.4
L-VQE,207,-5.6
L-VQE,208,-5.9
L-VQE,209,-5.6
L-VQE,210,-6.0
L-VQE,211,-5.9
L-VQE,212,-6.6
L-VQE,213,-6.5
L-VQE,214,-6.8
L-VQE,215,-6.2
L-VQE,216,-6.7
L-VQE,217,-6.4
L-VQE,218,-6.8
L-VQE,219,-7.4
L-VQE,220,-6.7
L-VQE,221,-5.6
L-VQE,222,-5.8
L-VQE,223,-4.6
L-VQE,224,-5.6
L-VQE,225,-7.4
L-VQE,226,-5.1
L-VQE,227,-6.2
L-VQE,228,-6.4
L-VQE,229,-6.2
L-VQE,230,-5.9
L-VQE,231,-5.5
L-VQE,232,-6.1
L-VQE,233,-6.9
L-VQE,234,-7.2
L-VQE,235,-6.9
L-VQE,236,-6.3
L-VQE,237,-6.5
L-VQE,238,-6.6
L-VQE,239,-6.3999999999999995
L-VQE,240,-7.3
L-VQE,241,-6.0
L-VQE,242,-5.5
L-VQE,243,-5.7
L-VQE,244,-5.3
L-VQE,245,-6.3
L-VQE,246,-5.8
L-VQE,247,-5.7
L-VQE,248,-7.0
L-VQE,249,-6.2
L-VQE,250,-5.9
L-VQE,251,-6.8
L-VQE,252,-5.4
L-VQE,253,-6.5
L-VQE,254,-5.2
L-VQE,255,-7.0
L-VQE,256,-6.4
L-VQE,257,-5.6
L-VQE,258,-6.800000000000001
L-VQE,259,-5.5
L-VQE,260,-5.9
L-VQE,261,-6.1
L-VQE,262,-6.2
L-VQE,263,-5.6
L-VQE,264,-6.2
L-VQE,265,-6.3
L-VQE,266,-6.3
L-VQE,267,-5.2
L-VQE,268,-5.6
L-VQE,269,-5.7
L-VQE,270,-5.7
L-VQE,271,-6.5
L-VQE,272,-5.6
L-VQE,273,-6.3
L-VQE,274,-6.3
L-VQE,275,-6.2
L-VQE,276,-7.2
L-VQE,277,-6.4
L-VQE,278,-5.5
L-VQE,279,-5.7
L-VQE,280,-5.8
L-VQE,281,-6.5
L-VQE,282,-4.9
L-VQE,283,-6.7
L-VQE,284,-6.3
L-VQE,285,-6.5
L-VQE,286,-5.7
L-VQE,287,-6.7
L-VQE,288,-6.3
L-VQE,289,-5.5
L-VQE,290,-6.2
L-VQE,291,-6.0
L-VQE,292,-6.0
L-VQE,293,-6.1
L-VQE,294,-5.7
L-VQE,295,-6.4
L-VQE,296,-7.0
L-VQE,297,-6.6
L-VQE,298,-5.9
L-VQE,299,-5.9
L-VQE,300,-6.6
L-VQE,301,-6.9
L-VQE,302,-6.5
L-VQE,303,-6.3
L-VQE,304,-6.6
L-VQE,305,-6.2
L-VQE,306,-5.6
L-VQE,307,-6.2
L-VQE,308,-5.9
L-VQE,309,-5.5
L-VQE,310,-6.2
L-VQE,311,-6.0
L-VQE,312,-5.8
L-VQE,313,-5.8
L-VQE,314,-6.3
L-VQE,315,-4.9
L-VQE,316,-5.7
L-VQE,317,-6.3
L-VQE,318,-5.7
L-VQE,319,-6.5
L-VQE,320,-6.6
L-VQE,321,-5.5
L-VQE,322,-5.9
L-VQE,323,-5.6
L-VQE,324,-5.6
L-VQE,325,-6.8
L-VQE,326,-6.3
L-VQE,327,-6.8
L-VQE,328,-5.6
L-VQE,329,-5.6
L-VQE,330,-6.2
L-VQE,331,-4.6
L-VQE,332,-5.5
L-VQE,333,-5.2
L-VQE,334,-6.4
L-VQE,335,-6.7
L-VQE,336,-6.8
L-VQE,337,-5.9
L-VQE,338,-5.1
L-VQE,339,-6.4
L-VQE,340,-6.3
L-VQE,341,-6.2
L-VQE,342,-6.4
L-VQE,343,-6.1
L-VQE,344,-6.4
L-VQE,345,-6.4
L-VQE,346,-5.8
L-VQE,347,-6.7
L-VQE,348,-6.1
L-VQE,349,-6.6
L-VQE,350,-7.2
L-VQE,351,-6.5
L-VQE,352,-6.3
L-VQE,353,-5.6
L-VQE,354,-5.7
L-VQE,355,-7.1
L-VQE,356,-5.8
L-VQE,357,-6.4
L-VQE,358,-6.8
L-VQE,359,-6.2
L-VQE,360,-5.9
L-VQE,361,-6.6
L-VQE,362,-6.5
L-VQE,363,-6.6
L-VQE,364,-5.8
L-VQE,365,-6.6
L-VQE,366,-6.6
L-VQE,367,-5.9
L-VQE,368,-5.9
L-VQE,369,-6.0
L-VQE,370,-4.8
L-VQE,371,-7.2
L-VQE,372,-5.6
L-VQE,373,-5.7
L-VQE,374,-6.3
L-VQE,375,-5.1
L-VQE,376,-6.9
L-VQE,377,-6.2
L-VQE,378,-6.3
L-VQE,379,-5.9
L-VQE,380,-6.4
L-VQE,381,-6.2
L-VQE,382,-5.0
L-VQE,383,-6.1
L-VQE,384,-6.2
L-VQE,385,-5.4
L-VQE,386,-5.5
L-VQE,387,-6.6
L-VQE,388,-7.0
L-VQE,389,-6.7
L-VQE,390,-5.7
L-VQE,391,-6.2
L-VQE,392,-7.2
L-VQE,393,-5.5
L-VQE,394,-5.7
L-VQE,395,-6.6
L-VQE,396,-6.0
L-VQE,397,-6.0
L-VQE,398,-5.8
L-VQE,399,-7.0
L-VQE,400,-6.6
L-VQE,401,-6.3
L-VQE,402,-4.9
L-VQE,403,-6.8
L-VQE,404,-5.3
L-VQE,405,-7.2
L-VQE,406,-6.7
L-VQE,407,-6.3
L-VQE,408,-6.9
L-VQE,409,-6.3
L-VQE,410,-6.8
L-VQE,411,-5.7
L-VQE,412,-5.8
L-VQE,413,-6.0
L-VQE,414,-5.6
L-VQE,415,-6.0
L-VQE,416,-7.3
L-VQE,417,-6.4
L-VQE,418,-6.6
L-VQE,419,-6.7
L-VQE,420,-5.3
L-VQE,421,-7.1
L-VQE,422,-5.1
L-VQE,423,-6.3
L-VQE,424,-5.6
L-VQE,425,-5.6
L-VQE,426,-5.9
L-VQE,427,-6.4
L-VQE,428,-6.4
L-VQE,429,-6.7
L-VQE,430,-6.2
L-VQE,431,-5.8
L-VQE,432,-6.0
L-VQE,433,-5.6
L-VQE,434,-7.1
L-VQE,435,-6.4
L-VQE,436,-6.7
L-VQE,437,-6.0
L-VQE,438,-5.8
L-VQE,439,-6.4
L-VQE,440,-6.4
L-VQE,441,-6.2
L-VQE,442,-5.5
L-VQE,443,-5.9
L-VQE,444,-7.0
L-VQE,445,-6.8
L-VQE,446,-5.5
L-VQE,447,-5.1
L-VQE,448,-6.1
L-VQE,449,-6.3
L-VQE,450,-5.9
L-VQE,451,-5.9
L-VQE,452,-5.7
L-VQE,453,-6.0
L-VQE,454,-5.5
L-VQE,455,-5.9
L-VQE,456,-6.5
L-VQE,457,-7.2
L-VQE,458,-6.1
L-VQE,459,-6.7
L-VQE,460,-6.2
L-VQE,461,-7.6
L-VQE,462,-5.7
L-VQE,463,-5.0
L-VQE,464,-6.6
L-VQE,465,-6.1
L-VQE,466,-5.4
VQE,0,-5.4
VQE,1,-5.8
VQE,2,-4.8
VQE,3,-5.2
VQE,4,-6.2
VQE,5,-5.9
VQE,6,-4.7
VQE,7,-5.1
VQE,8,-6.6
VQE,9,-6.4
VQE,10,-6.1
VQE,11,-5.9
VQE,12,-6.1
VQE,13,-5.6
VQE,14,-4.8
VQE,15,-6.9
VQE,16,-5.9
VQE,17,-5.6
VQE,18,-6.5
VQE,19,-5.3
VQE,20,-5.5
VQE,21,-5.7
VQE,22,-5.1
VQE,23,-6.2
VQE,24,-4.7
VQE,25,-5.6
VQE,26,-4.8
VQE,27,-5.8
VQE,28,-6.8
VQE,29,-5.9
VQE,30,-6.3
VQE,31,-5.7
VQE,32,-5.7
VQE,33,-6.5
VQE,34,-5.5
VQE,35,-5.5
VQE,36,-6.6000000000000005
VQE,37,-6.2
VQE,38,-5.8
VQE,39,-5.2
VQE,40,-6.3
VQE,41,-5.3
VQE,42,-6.4
VQE,43,-5.5
VQE,44,-6.5
VQE,45,-6.3
VQE,46,-6.2
VQE,47,-5.8
VQE,48,-7.2
VQE,49,-6.6
VQE,50,-6.5
VQE,51,-7.0
VQE,52,-7.0
VQE,53,-5.8
VQE,54,-6.2
VQE,55,-6.3
VQE,56,-6.6
VQE,57,-5.5
VQE,58,-6.7
VQE,59,-6.3
VQE,60,-6.6
VQE,61,-7.2
VQE,62,-5.6
VQE,63,-6.0
VQE,64,-5.9
VQE,65,-6.7
VQE,66,-6.0
VQE,67,-5.7
VQE,68,-6.5
VQE,69,-5.9
VQE,70,-6.7
VQE,71,-6.9
VQE,72,-5.9
VQE,73,-7.2
VQE,74,-6.8
VQE,75,-6.6
VQE,76,-5.3
VQE,77,-7.2
VQE,78,-6.7
VQE,79,-6.2
VQE,80,-5.9
VQE,81,-5.9
VQE,82,-6.4
VQE,83,-5.4
VQE,84,-5.7
VQE,85,-5.9
VQE,86,-5.2
VQE,87,-5.4
VQE,88,-5.7
VQE,89,-5.4
VQE,90,-4.9
VQE,91,-6.5
VQE,92,-5.4
VQE,93,-6.0
VQE,94,-5.9
VQE,95,-5.6
VQE,96,-5.8
VQE,97,-6.3
VQE,98,-6.6
VQE,99,-6.4
VQE,100,-7.0
VQE,101,-6.3
VQE,102,-7.1
VQE,103,-6.4
VQE,104,-6.1
VQE,105,-5.5
VQE,106,-6.2
VQE,107,-6.3
VQE,108,-6.4
VQE,109,-6.6
VQE,110,-6.7
VQE,111,-6.0
VQE,112,-6.3
VQE,113,-6.5
VQE,114,-6.1
VQE,115,-5.2
VQE,116,-6.0
VQE,117,-6.0
VQE,118,-5.8
VQE,119,-6.2
VQE,120,-5.2
VQE,121,-6.2
VQE,122,-5.6
VQE,123,-6.0
VQE,124,-5.7
VQE,125,-5.8
VQE,126,-6.1
VQE,127,-5.7
VQE,128,-6.2
VQE,129,-5.9
VQE,130,-6.1
VQE,131,-6.5
VQE,132,-7.1
VQE,133,-5.7
VQE,134,-6.6
VQE,135,-6.0
VQE,136,-6.2
VQE,137,-6.5
VQE,138,-6.1
VQE,139,-6.5
VQE,140,-5.8
VQE,141,-7.4
VQE,142,-6.5
VQE,143,-5.8
VQE,144,-5.8
VQE,145,-6.3
VQE,146,-6.0
VQE,147,-7.2
VQE,148,-5.0
VQE,149,-6.6
VQE,150,-5.7
VQE,151,-5.5
VQE,152,-5.8
VQE,153,-5.9
VQE,154,-5.0
VQE,155,-5.8
VQE,156,-7.1000000000000005
VQE,157,-6.0
VQE,158,-5.7
VQE,159,-6.0
VQE,160,-6.2
VQE,161,-5.9
VQE,162,-7.1
VQE,163,-6.6
VQE,164,-5.6
VQE,165,-5.3
VQE,166,-6.5
VQE,167,-5.0
VQE,168,-6.2
VQE,169,-6.1
VQE,170,-5.8
VQE,171,-6.3
VQE,172,-6.4
VQE,173,-6.1
VQE,174,-5.3
VQE,175,-6.1
VQE,176,-5.9
VQE,177,-6.6
VQE,178,-5.8
VQE,179,-5.2
VQE,180,-5.6
VQE,181,-5.8
VQE,182,-6.2
VQE,183,-6.0
VQE,184,-6.4
VQE,185,-5.5
VQE,186,-6.6
VQE,187,-4.2
VQE,188,-6.6
VQE,189,-5.6
VQE,190,-5.9
VQE,191,-6.2
VQE,192,-6.6
VQE,193,-5.4
VQE,194,-5.7
VQE,195,-6.2
VQE,196,-7.1
VQE,197,-5.8
VQE,198,-6.4
VQE,199,-6.0
VQE,200,-6.6
VQE,201,-5.7
VQE,202,-6.6
VQE,203,-6.2
VQE,204,-6.9
VQE,205,-5.8
VQE,206,-6.9
VQE,207,-7.0
VQE,208,-5.7
VQE,209,-5.8
VQE,210,-5.7
VQE,211,-6.1
VQE,212,-5.8
VQE,213,-6.1
VQE,214,-6.3
VQE,215,-6.7
VQE,216,-6.0
VQE,217,-5.8
VQE,218,-6.4
VQE,219,-5.2
VQE,220,-5.4
VQE,221,-6.0
VQE,222,-6.0
VQE,223,-5.2
VQE,224,-6.6
VQE,225,-5.3
VQE,226,-5.8
VQE,227,-5.6
VQE,228,-6.8
VQE,229,-6.5
VQE,230,-5.8
VQE,231,-5.1
VQE,232,-5.9
VQE,233,-5.9
VQE,234,-7.1
VQE,235,-5.5
VQE,236,-6.4
VQE,237,-6.7
VQE,238,-5.5
VQE,239,-6.3
VQE,240,-5.9
VQE,241,-5.7
VQE,242,-5.7
VQE,243,-6.3
VQE,244,-6.1
VQE,245,-5.5
VQE,246,-6.1
VQE,247,-6.3
VQE,248,-6.9
VQE,249,-6.5
VQE,250,-6.6
VQE,251,-5.5
VQE,252,-6.4
VQE,253,-5.8
VQE,254,-6.7
VQE,255,-6.2
VQE,256,-5.8
VQE,257,-5.7
VQE,258,-5.8
VQE,259,-4.5
VQE,260,-6.1
VQE,261,-6.8
VQE,262,-6.0
VQE,263,-5.2
VQE,264,-6.0
VQE,265,-6.3
VQE,266,-5.9
VQE,267,-6.7
VQE,268,-6.3
VQE,269,-4.8
VQE,270,-6.3
VQE,271,-6.9
VQE,272,-6.1
VQE,273,-6.1
VQE,274,-6.4
VQE,275,-5.3
VQE,276,-6.9
VQE,277,-5.4
VQE,278,-5.7
VQE,279,-6.3
VQE,280,-5.9
VQE,281,-6.4
VQE,282,-6.1
VQE,283,-5.9
VQE,284,-6.6000000000000005
VQE,285,-6.0
VQE,286,-5.8
VQE,287,-6.3
VQE,288,-6.9
VQE,289,-5.9
VQE,290,-6.3
VQE,291,-5.5
VQE,292,-6.9
VQE,293,-6.2
VQE,294,-5.7
VQE,295,-6.4
VQE,296,-5.8
VQE,297,-5.8
VQE,298,-5.1
VQE,299,-6.6
VQE,300,-6.3
VQE,301,-6.5
VQE,302,-5.8
VQE,303,-6.3
VQE,304,-6.1
VQE,305,-6.3
VQE,306,-5.1
VQE,307,-6.5
VQE,308,-4.6
VQE,309,-6.3
VQE,310,-6.1
VQE,311,-5.7
VQE,312,-5.8
VQE,313,-5.6
VQE,314,-5.4
VQE,315,-6.5
VQE,316,-6.7
VQE,317,-5.7
VQE,318,-6.2
VQE,319,-6.0
VQE,320,-5.7
VQE,321,-5.5
VQE,322,-6.4
VQE,323,-5.9
VQE,324,-6.3
VQE,325,-6.8
VQE,326,-6.4
VQE,327,-5.6
VQE,328,-6.2
VQE,329,-5.7
VQE,330,-4.6
VQE,331,-5.7
VQE,332,-6.5
VQE,333,-6.7
VQE,334,-6.8
VQE,335,-6.4
VQE,336,-6.8
VQE,337,-5.8
VQE,338,-6.9
VQE,339,-6.5
VQE,340,-6.3
VQE,341,-5.4
VQE,342,-5.5
VQE,343,-6.4
VQE,344,-6.4
VQE,345,-6.2
VQE,346,-6.7
VQE,347,-6.1
VQE,348,-5.4
VQE,349,-5.7
VQE,350,-5.9
VQE,351,-5.3
VQE,352,-6.1
VQE,353,-5.4
VQE,354,-5.1
VQE,355,-5.7
VQE,356,-5.4
VQE,357,-5.6
VQE,358,-6.2
VQE,359,-5.4
VQE,360,-6.3
VQE,361,-6.0
VQE,362,-5.2
VQE,363,-6.7
VQE,364,-6.3
VQE,365,-5.4
VQE,366,-6.0
VQE,367,-6.4
VQE,368,-6.9
VQE,369,-5.8
VQE,370,-6.5
VQE,371,-4.8
VQE,372,-7.4
VQE,373,-6.9
VQE,374,-6.7
VQE,375,-6.5
VQE,376,-5.6
VQE,377,-4.9
VQE,378,-6.2
VQE,379,-5.8
VQE,380,-5.6
VQE,381,-6.3
VQE,382,-4.9
VQE,383,-7.1
VQE,384,-5.9
VQE,385,-6.0
VQE,386,-6.0
VQE,387,-6.6
VQE,388,-6.2
VQE,389,-7.1
VQE,390,-5.9
VQE,391,-6.4
VQE,392,-5.9
VQE,393,-6.2
VQE,394,-6.1
VQE,395,-6.3
VQE,396,-6.7
VQE,397,-5.2
VQE,398,-5.9
VQE,399,-6.0
VQE,400,-5.1
VQE,401,-5.6
VQE,402,-5.4
VQE,403,-5.5
VQE,404,-6.1
VQE,405,-6.3
VQE,406,-6.6
VQE,407,-5.4
VQE,408,-6.9
VQE,409,-6.0
VQE,410,-5.2
VQE,411,-6.0
VQE,412,-5.9
VQE,413,-5.9
VQE,414,-6.1
VQE,415,-6.7
VQE,416,-6.0
VQE,417,-5.8
VQE,418,-7.3
VQE,419,-6.2
VQE,420,-6.1000000000000005
VQE,421,-5.3
VQE,422,-5.7
VQE,423,-6.0
VQE,424,-5.6
VQE,425,-5.5
VQE,426,-5.7
VQE,427,-7.300000000000001
VQE,428,-6.2
VQE,429,-5.1
VQE,430,-6.1
VQE,431,-6.0
VQE,432,-6.1
VQE,433,-6.2
VQE,434,-5.9
VQE,435,-5.5
VQE,436,-4.7
VQE,437,-5.7
VQE,438,-6.0
VQE,439,-6.1
VQE,440,-5.9
VQE,441,-6.7
VQE,442,-6.2
VQE,443,-5.5
VQE,444,-6.3
VQE,445,-6.7
VQE,446,-6.3
VQE,447,-6.6000000000000005
VQE,448,-6.7
VQE,449,-5.6
VQE,450,-5.4
VQE,451,-6.3
VQE,452,-7.1
VQE,453,-5.8
VQE,454,-6.0
VQE,455,-5.8
VQE,456,-5.9
VQE,457,-6.7
VQE,458,-6.0
VQE,459,-5.5
VQE,460,-6.1
VQE,461,-5.5
